iter	MAE	RMSE
0	667.9957958	863.6599311
1	667.3486135	862.8790784
2	666.7521674	862.1832567
3	666.1641765	861.5193643
4	665.624878	860.9308382
5	665.1288308	860.4071471
6	664.6203563	859.8776169
7	664.1701508	859.4333414
8	663.7450748	859.0265834
9	663.3603546	858.670995
10	663.0133011	858.3605318
11	662.6717679	858.0662751
12	662.3522065	857.799195
13	662.0828848	857.5639736
14	661.8365027	857.3625372
15	661.5911906	857.1557441
16	661.2126722	856.8561781
17	660.995878	856.6842375
18	660.7693691	856.5118378
19	660.5464535	856.3577632
20	660.398591	856.2268198
21	660.2421773	856.1091598
22	660.0773561	855.9821877
23	659.8510767	855.826523
24	659.7317135	855.7182031
25	659.6292754	855.632541
26	659.5557295	855.5691686
27	659.4274913	855.482772
28	659.3328329	855.405945
29	659.1164796	855.2715407
30	658.9847017	855.1793252
31	658.9251859	855.1240112
32	658.8347318	855.0616402
33	658.7883556	855.0101202
34	658.7179051	854.9535588
35	658.6168946	854.8911048
36	658.5690441	854.8522914
37	658.5303672	854.820447
38	658.4604244	854.7694786
39	658.4333528	854.7454902
40	658.3646083	854.7016464
41	658.3269525	854.6753028
42	658.223579	854.55334
43	658.1895026	854.5282526
44	658.1769694	854.5178199
45	658.1093095	854.4657707
46	658.0666596	854.4273798
47	657.8649454	854.202279
48	657.7764498	854.152491
49	657.6564513	854.0204809
50	657.4542435	853.7909491
51	657.4459777	853.7838426
52	657.405255	853.7496543
53	657.3626006	853.7247607
54	657.3387912	853.7035285
55	657.3160424	853.6853696
56	657.1140441	853.5739772
57	657.1035094	853.5596371
58	657.0933277	853.547471
59	657.0855331	853.538858
60	656.9101733	853.4474678
61	656.7350758	853.2556236
62	656.6339724	853.189311
63	656.6156639	853.1733817
64	656.5455961	853.1013545
65	656.3602189	852.9129425
66	656.3145766	852.8875498
67	656.2564496	852.8476675
68	656.2328072	852.8151981
69	656.1697041	852.7520183
70	656.1576733	852.7378018
71	655.9871625	852.5726075
72	655.8472459	852.4992434
73	655.7440943	852.384838
74	655.7079412	852.3597576
75	655.7023682	852.3535936
76	655.6960212	852.3478672
77	655.6692746	852.324274
78	655.662983	852.318554
79	655.660378	852.3159088
80	655.513517	852.1757825
81	655.3621905	852.0397061
82	655.1482249	851.8264566
83	655.105406	851.7980634
84	655.0995385	851.7930191
85	654.9927923	851.7226428
86	654.9871955	851.7165506
87	654.8424887	851.6304111
88	654.7417777	851.5439542
89	654.6011123	851.4246914
90	654.5961194	851.4209015
91	654.4854783	851.3413535
92	654.4622439	851.32563
93	654.3763897	851.287397
94	654.3740405	851.2848353
95	654.3709203	851.2803588
96	654.3636551	851.2747285
97	654.3593097	851.2708112
98	654.1915401	851.1841189
99	654.1533371	851.1601505
100	654.1391893	851.1494053
101	654.0443846	851.052402
102	654.0392263	851.0474152
103	653.9330579	850.9793347
104	653.9122317	850.9611228
105	653.8975386	850.9467683
106	653.7363717	850.7761132
107	653.6640881	850.6972785
108	653.5372854	850.5984624
109	653.4905123	850.5627474
110	653.4826831	850.5579436
111	653.4195322	850.5266065
112	653.3903588	850.4930066
113	653.377979	850.4854822
114	653.3449889	850.4637741
115	653.2159656	850.4040615
116	653.1442878	850.3504521
117	653.0283633	850.2626346
118	652.9469555	850.2069895
119	652.941816	850.2012098
120	652.9149258	850.1817942
121	652.9081156	850.1762057
122	652.8116241	850.1079705
123	652.7090801	849.9994887
124	652.6866475	849.9866142
125	652.5664595	849.8684957
126	652.4254121	849.8115636
127	652.4237514	849.8094684
128	652.3837997	849.7850498
129	652.3778565	849.780268
130	652.2825805	849.7183581
131	652.2783244	849.7133821
132	652.2450938	849.6731807
133	652.2384557	849.6686
134	652.0837803	849.5864615
135	652.074677	849.5815097
136	652.02321	849.544919
137	651.9675887	849.5067938
138	651.9635992	849.5026177
139	651.884413	849.4736406
140	651.8677354	849.4630986
141	651.8206956	849.451329
142	651.722088	849.3883967
143	651.7174039	849.3838598
144	651.7086488	849.379128
145	651.7052064	849.3765302
146	651.701627	849.3736072
147	651.7001414	849.371174
148	651.6712985	849.3536926
149	651.6660645	849.3452185
150	651.6647491	849.344
151	651.5220145	849.1973441
152	651.4694166	849.1600771
153	651.464738	849.1560857
154	651.4558232	849.1485561
155	651.416041	849.132702
156	651.4136804	849.1302752
157	651.3736079	849.1042455
158	651.2829249	849.0199681
159	651.2628474	849.0031582
160	651.2567249	848.9966
161	651.2482606	848.9856863
162	651.2280808	848.9729951
163	651.2184772	848.9672381
164	651.2155857	848.9631281
165	651.2052435	848.9551348
166	651.2037127	848.9511754
167	651.1329131	848.9159481
168	651.1263531	848.9122316
169	651.0878657	848.8920832
170	651.0726624	848.8797783
171	651.0639261	848.8748892
172	651.0082753	848.8135228
173	651.0020547	848.8062229
174	650.8304662	848.6623718
175	650.8279152	848.6598685
176	650.826221	848.6581722
177	650.8252913	848.6555609
178	650.817877	848.6520319
179	650.8182956	848.6508427
180	650.8165911	848.6479294
181	650.8147687	848.6457295
182	650.7737436	848.6027762
183	650.7740579	848.6020707
184	650.6258675	848.5351273
185	650.6225901	848.5319031
186	650.611525	848.5232379
187	650.600932	848.5103897
188	650.4969826	848.4521142
189	650.3838422	848.3984796
190	650.3812016	848.3944152
191	650.2975679	848.3465499
192	650.2963762	848.3452431
193	650.2872351	848.3379042
194	650.2836786	848.3318422
195	650.2821606	848.3292338
196	650.2781183	848.3243037
197	650.2392647	848.3000488
198	650.2045273	848.2669768
199	650.2002017	848.2605444
200	650.1962425	848.2557054
201	650.1938203	848.2535225
202	650.1900904	848.2493547
203	650.188918	848.2472904
204	650.1853187	848.2439394
205	650.1222119	848.1808896
206	650.118156	848.1753937
207	650.1166385	848.1740934
208	650.1147077	848.1722723
209	650.1122957	848.1694
210	650.0606373	848.1470264
211	650.0587615	848.1441997
212	650.0539293	848.1395953
213	649.9522438	848.0434418
214	649.9402622	848.0354401
215	649.9096612	848.0200593
216	649.8969981	848.0129707
217	649.8960276	848.0121994
218	649.866845	847.9959629
219	649.79918	847.9585946
220	649.7984142	847.958074
221	649.7909925	847.9537217
222	649.7875613	847.9496946
223	649.7776914	847.9432828
224	649.7420085	847.908728
225	649.7387675	847.9057659
226	649.7382631	847.904614
227	649.6448799	847.856051
228	649.5915519	847.8280468
229	649.5911513	847.8274521
230	649.5888027	847.8249137
231	649.5900852	847.8237475
232	649.5880677	847.8203796
233	649.5850078	847.8154979
234	649.5838084	847.8139706
235	649.581323	847.8112645
236	649.5791413	847.8091247
237	649.5786686	847.8084177
238	649.5786413	847.8083632
239	649.5784206	847.8079894
240	649.4873591	847.7609169
241	649.4858984	847.7583703
242	649.4843139	847.7564657
243	649.4836639	847.7554938
244	649.4812946	847.7537912
245	649.4204855	847.7330945
246	649.3883656	847.7124116
247	649.3877625	847.7117772
248	649.3801369	847.7001962
249	649.3094693	847.6169101
250	649.3075801	847.61571
251	649.3045706	847.6127758
252	649.2978959	847.6068167
253	649.2362582	847.573624
254	649.1922753	847.5577428
255	649.1918308	847.5565459
256	649.1890919	847.5539927
257	649.1866179	847.5520219
258	649.1777858	847.5433388
259	649.1722428	847.5390555
260	649.1701085	847.5362462
261	649.135524	847.5058878
262	649.1174795	847.4896547
263	649.1108003	847.4841268
264	649.0714843	847.4686802
265	649.0529779	847.4644934
266	649.0422332	847.4580753
267	649.0391262	847.4549687
268	649.0380674	847.4523325
269	649.0185774	847.4404389
270	648.9781714	847.4048202
271	648.933203	847.3630292
272	648.9311832	847.3613539
273	648.9258373	847.3544012
274	648.9214258	847.3499914
275	648.8971886	847.3356201
276	648.8928287	847.3304872
277	648.8505333	847.3127566
278	648.7663011	847.2362616
279	648.7634256	847.2332656
280	648.7453818	847.2223467
281	648.7389725	847.214233
282	648.6924093	847.176167
283	648.626975	847.1483167
284	648.626889	847.1482121
285	648.6192819	847.1418135
286	648.6185138	847.1402526
287	648.6167751	847.138341
288	648.6106358	847.1317598
289	648.604756	847.1288868
290	648.6036702	847.1283591
291	648.5319412	847.0917887
292	648.4850817	847.0526808
293	648.4169105	847.0163869
294	648.414961	847.0132647
295	648.3971268	846.9926369
296	648.3297776	846.9580901
297	648.3203086	846.9502164
298	648.3133153	846.942788
299	648.2236677	846.8597968
300	648.1702904	846.8151216
301	648.1522403	846.8033976
302	648.0883937	846.7708334
303	648.0877696	846.7698423
304	648.0722375	846.7604595
305	648.0438333	846.7366283
306	648.0354171	846.7296289
307	648.0164237	846.7182493
308	648.001426	846.7087347
309	647.9973481	846.7055274
310	647.9346596	846.6752394
311	647.8690072	846.6452529
312	647.8139512	846.6287179
313	647.8014505	846.6169507
314	647.8001876	846.6149599
315	647.7464352	846.5896007
316	647.7257007	846.574848
317	647.7198916	846.5683949
318	647.7192901	846.5670621
319	647.7030882	846.5549707
320	647.6696555	846.5210044
321	647.6644741	846.5153696
322	647.6620488	846.5107735
323	647.6157617	846.4884901
324	647.6126801	846.4856696
325	647.6086395	846.4814531
326	647.5963618	846.4733175
327	647.553551	846.440376
328	647.5491191	846.436426
329	647.5477117	846.4343522
330	647.5445948	846.428174
331	647.5042399	846.4148734
332	647.5011573	846.4121735
333	647.5008808	846.4113601
334	647.4969971	846.40556
335	647.4864162	846.4016267
336	647.4558452	846.3687534
337	647.453339	846.3654387
338	647.4422698	846.3543508
339	647.4393924	846.3508733
340	647.429187	846.3427573
