iter	Passed	Remaining
0	672	671988
1	1373	685291
2	1913	635889
3	2525	628893
4	3120	621023
5	3733	618497
6	4376	620889
7	4953	614293
8	5480	603479
9	6061	600072
10	6785	610042
11	7354	605525
12	7955	604001
13	8601	605760
14	9120	598909
15	9784	601773
16	10404	601621
17	10938	596765
18	11519	594788
19	12288	602128
20	12938	603162
21	13430	597037
22	14152	601162
23	14718	598540
24	15361	599084
25	16052	601352
26	16612	598652
27	17343	602081
28	17929	600335
29	18486	597744
30	19273	602446
31	19947	603425
32	20609	603919
33	21340	606326
34	22156	610892
35	22928	613980
36	23683	616400
37	24511	620521
38	25268	622634
39	25925	622220
40	26671	623858
41	27151	619316
42	27937	621776
43	28711	623815
44	29450	625002
45	30217	626680
46	30879	626127
47	31613	626993
48	32247	625868
49	32797	623160
50	33685	626812
51	34333	625933
52	35042	626129
53	35713	625640
54	36441	626130
55	37078	625040
56	37624	622449
57	38222	620778
58	38816	619093
59	39435	617822
60	40303	620402
61	41064	621269
62	41849	622423
63	42732	624961
64	43298	622832
65	43923	621582
66	44696	622413
67	45507	623718
68	46255	624109
69	46877	622801
70	47851	626110
71	48667	627269
72	49404	627375
73	50018	625907
74	50631	624453
75	51424	625211
76	52046	623882
77	52693	622867
78	53424	622833
79	54022	621254
80	54549	618895
81	55222	618224
82	55849	617040
83	56476	615860
84	57110	614772
85	57725	613501
86	58258	611375
87	58873	610142
88	59374	607753
89	59864	605298
90	60465	603986
91	61119	603223
92	61818	602900
93	62468	602090
94	62963	599807
95	63446	597457
96	64055	596311
97	64649	595041
98	64893	590600
99	65497	589474
100	65986	587341
